rank,account_id,account_type,score,tier,intent_score_missing,reasoning,opener
1,ACC-01491,Prospect,0.20939284337910957,High,False,Rank #1 (High priority). 188-person Prospect in Retail stands out because of an active trial (3 users in product); 1 MQL(s) in the last 90 days; 5 sales contacts already logged.,I noticed your team is in a Cordilla trial. Ten minutes to compare with other Retail teams?
2,ACC-00371,Former Customer,0.20447911195127128,High,False,Rank #2 (High priority). 22-person Former Customer in Financial Services stands out because of an active trial (2 users in product); 4 MQL(s) in the last 90 days; 8 web touchpoints recently.,"Since you left, I saw a new Cordilla trial — open to a short Financial Services catch-up?"
3,ACC-01064,Prospect,0.18692811910966464,High,False,Rank #3 (High priority). 57-person Prospect in Retail stands out because of an active trial (1 users in product); 1 MQL(s) in the last 90 days; 5 sales contacts already logged.,I noticed your team is in a Cordilla trial. Ten minutes to compare with other Retail teams?
4,ACC-01283,Suspect,0.1756819094801484,High,False,Rank #4 (High priority). 50-person Suspect in Retail stands out because of 3 web touchpoints recently; 4 sales contacts already logged; vendor intent reading 61.2.,Your team has been on our site this quarter. Quick walkthrough of what Retail teams ask first?
5,ACC-01111,Suspect,0.15271838779534938,High,False,Rank #5 (High priority). 44-person Suspect in Manufacturing stands out because of an active trial (2 users in product); 4 web touchpoints recently; 3 sales contacts already logged.,I noticed your team is in a Cordilla trial. Ten minutes to compare with other Manufacturing teams?
6,ACC-00400,Suspect,0.1521825408659366,High,False,Rank #6 (High priority). 109-person Suspect in Software stands out because of 1 MQL(s) in the last 90 days; 4 sales contacts already logged; vendor intent reading 24.2.,Someone on your side showed interest recently. Still looking at workflow tooling?
7,ACC-00122,Prospect,0.14821040002222632,High,True,"Rank #7 (High priority). 698-person Prospect in Manufacturing stands out because of 5 web touchpoints recently; 6 sales contacts already logged. Intent is missing — vendor coverage gap, not low intent; the model fills 25.3, not a real reading. Lean on the activity above.",Your team has been on our site this quarter. Quick walkthrough of what Manufacturing teams ask first?
8,ACC-00646,Prospect,0.14821040002222632,High,True,"Rank #8 (High priority). 637-person Prospect in Manufacturing stands out because of 2 MQL(s) in the last 90 days; 3 web touchpoints recently; 6 sales contacts already logged. Intent is missing — vendor coverage gap, not low intent; the model fills 25.3, not a real reading. Lean on the activity above.",Someone on your side showed interest recently. Still looking at workflow tooling?
9,ACC-00657,Prospect,0.14383239787817576,High,False,Rank #9 (High priority). 562-person Prospect in Financial Services stands out because of 4 MQL(s) in the last 90 days; 8 web touchpoints recently; vendor intent reading 24.2.,Someone on your side showed interest recently. Still looking at workflow tooling?
10,ACC-00232,Prospect,0.1408302146932598,High,False,Rank #10 (High priority). 301-person Prospect in Retail stands out because of an active trial (3 users in product); 1 MQL(s) in the last 90 days; 1 sales contacts already logged.,I noticed your team is in a Cordilla trial. Ten minutes to compare with other Retail teams?
11,ACC-00065,Suspect,0.13663723152019597,High,False,"Rank #11 (High priority). 42-person Suspect in Healthcare stands out because of a trial on the books, though usage is thin; 13 web touchpoints recently; 1 sales contacts already logged.",I noticed your team is in a Cordilla trial. Ten minutes to compare with other Healthcare teams?
12,ACC-00966,Prospect,0.13351038899325313,High,False,Rank #12 (High priority). 74-person Prospect in Retail stands out because of 4 MQL(s) in the last 90 days; 8 web touchpoints recently; vendor intent reading 51.6.,Someone on your side showed interest recently. Still looking at workflow tooling?
13,ACC-00205,Suspect,0.12890521444477065,High,False,Rank #13 (High priority). 243-person Suspect in Retail stands out because of 2 MQL(s) in the last 90 days; 5 web touchpoints recently; 1 sales contacts already logged.,Someone on your side showed interest recently. Still looking at workflow tooling?
14,ACC-00265,Suspect,0.1221454673454665,High,True,"Rank #14 (High priority). 133-person Suspect in Professional Services stands out because of a trial on the books, though usage is thin; 5 sales contacts already logged. Intent is missing — vendor coverage gap, not low intent; the model fills 25.3, not a real reading. Lean on the activity above.",I noticed your team is in a Cordilla trial. Ten minutes to compare with other Professional Services teams?
15,ACC-00533,Prospect,0.1219406610049066,High,False,Rank #15 (High priority). 65-person Prospect in Manufacturing stands out because of 1 MQL(s) in the last 90 days; 7 web touchpoints recently; vendor intent reading 63.0.,Someone on your side showed interest recently. Still looking at workflow tooling?
16,ACC-00146,Prospect,0.1216575438564018,High,False,"Rank #16 (High priority). 62-person Prospect in Manufacturing stands out because of a trial on the books, though usage is thin; 3 web touchpoints recently; 5 sales contacts already logged.",I noticed your team is in a Cordilla trial. Ten minutes to compare with other Manufacturing teams?
17,ACC-01382,Prospect,0.11601435870713352,High,False,Rank #17 (High priority). 127-person Prospect in Healthcare stands out because of 4 sales contacts already logged; vendor intent reading 23.9.,We work with Healthcare teams your size on workflow ops. Open to a brief call?
18,ACC-01019,Prospect,0.11588595292577854,High,False,Rank #18 (High priority). 29-person Prospect in Manufacturing stands out because of 5 MQL(s) in the last 90 days; 4 sales contacts already logged; vendor intent reading 7.7.,Someone on your side showed interest recently. Still looking at workflow tooling?
19,ACC-01155,Prospect,0.11569926762188526,High,False,Rank #19 (High priority). 85-person Prospect in Retail stands out because of 4 MQL(s) in the last 90 days; 7 sales contacts already logged; vendor intent reading 23.5.,Someone on your side showed interest recently. Still looking at workflow tooling?
20,ACC-00728,Prospect,0.11565648147974569,High,False,Rank #20 (High priority). 32-person Prospect in Software stands out because of 10 web touchpoints recently; vendor intent reading 8.9.,Your team has been on our site this quarter. Quick walkthrough of what Software teams ask first?
21,ACC-01129,Prospect,0.11346219942801374,High,False,Rank #21 (High priority). 76-person Prospect in Manufacturing stands out because of 1 MQL(s) in the last 90 days; 5 web touchpoints recently; vendor intent reading 77.5.,Someone on your side showed interest recently. Still looking at workflow tooling?
22,ACC-00100,Suspect,0.11292289808768276,High,False,Rank #22 (High priority). 16-person Suspect in Software stands out because of 1 MQL(s) in the last 90 days; 12 web touchpoints recently; 1 sales contacts already logged.,Someone on your side showed interest recently. Still looking at workflow tooling?
23,ACC-00958,Former Customer,0.11189924570400157,High,True,"Rank #23 (High priority). 106-person Former Customer in Manufacturing stands out because of 5 sales contacts already logged. Intent is missing — vendor coverage gap, not low intent; the model fills 25.3, not a real reading. Lean on the activity above.",Wanted to reconnect — what's changed for your Manufacturing team since Cordilla?
24,ACC-01339,Prospect,0.11189756550402105,High,False,Rank #24 (High priority). 42-person Prospect in Healthcare stands out because of 3 web touchpoints recently; vendor intent reading 70.1.,Your team has been on our site this quarter. Quick walkthrough of what Healthcare teams ask first?
25,ACC-00686,Prospect,0.11125287722673867,High,True,"Rank #25 (High priority). 46-person Prospect in Professional Services stands out because of an active trial (3 users in product); 6 sales contacts already logged. Intent is missing — vendor coverage gap, not low intent; the model fills 25.3, not a real reading. Lean on the activity above.",I noticed your team is in a Cordilla trial. Ten minutes to compare with other Professional Services teams?
26,ACC-00832,Prospect,0.11024819159307937,High,False,Rank #26 (High priority). 52-person Prospect in Manufacturing stands out because of 5 sales contacts already logged; vendor intent reading 14.6.,We work with Manufacturing teams your size on workflow ops. Open to a brief call?
27,ACC-01496,Former Customer,0.1093178941909934,High,False,Rank #27 (High priority). 277-person Former Customer in Retail stands out because of 2 MQL(s) in the last 90 days; 13 web touchpoints recently; vendor intent reading 38.3.,Wanted to reconnect — what's changed for your Retail team since Cordilla?
28,ACC-00768,Prospect,0.1093010022519275,High,True,"Rank #28 (High priority). 69-person Prospect in Manufacturing stands out because of a trial on the books, though usage is thin; 14 web touchpoints recently; 1 sales contacts already logged. Intent is missing — vendor coverage gap, not low intent; the model fills 25.3, not a real reading. Lean on the activity above.",I noticed your team is in a Cordilla trial. Ten minutes to compare with other Manufacturing teams?
